stat_no;year;month;day;hour;elem_val
26409;1997;9;6;7;0,0
26409;1997;9;7;7;5,5
26409;1997;9;8;7;2,1
26409;1997;9;9;7;3,1
26409;1997;9;10;7;2,8
26409;1997;9;11;7;0,0
26409;1997;9;12;7;4,5
26409;1997;9;13;7;10,2
26409;1997;9;14;7;7,1
26409;1997;9;15;7;5,9
26409;1997;9;16;7;7,7
26409;1997;9;17;7;0,5
26409;1997;9;18;7;0,0
26409;1997;9;19;7;0,0
26409;1997;9;20;7;0,0
26409;1997;9;21;7;0,0
26409;1997;9;22;7;0,0
26409;1997;9;23;7;0,0
26409;1997;9;24;7;0,0
26409;1997;9;25;7;0,0
26409;1997;9;26;7;0,0
26409;1997;9;27;7;0,0
26409;1997;9;28;7;0,0
26409;1997;9;29;7;0,0
26409;1997;9;30;7;0,0
26409;1997;10;1;7;0,0
26409;1997;10;2;7;3,4
26409;1997;10;3;7;0,0
26409;1997;10;4;7;0,0
26409;1997;10;5;7;0,0
26409;1997;10;6;7;2,0
26409;1997;10;7;7;0,0
26409;1997;10;8;7;10,1
26409;1997;10;9;7;20,5
26409;1997;10;10;7;21,0
26409;1997;10;11;7;17,0
26409;1997;10;12;7;3,9
26409;1997;10;13;7;5,0
26409;1997;10;14;7;4,2
26409;1997;10;15;7;0,0
26409;1997;10;16;7;0,0
